Original;Split
DEL(anus);DEL(a),DEL(n),DEL(u),DEL(s)
DEL(oro);DEL(or),DEL(o)
DEL(udo);DEL(u),DEL(do)
DEL(cior);DEL(c),DEL(i),DEL(o),DEL(r)
DEL(atu);DEL(a),DEL(t),DEL(u)
DEL(lis);DEL(l),DEL(is)
DEL(iva);DEL(i),DEL(v),DEL(a)
DEL(as);DEL(a),DEL(s)
DEL(turior);DEL(t),DEL(u),DEL(r),DEL(i),DEL(o),DEL(r)
DEL(avus);DEL(a),DEL(v),DEL(u),DEL(s)
DEL(ivus);DEL(i),DEL(v),DEL(u),DEL(s)
DEL(ice);DEL(i),DEL(c),DEL(e)
DEL(ingo);DEL(i),DEL(n),DEL(g),DEL(o)
DEL(erus);DEL(e),DEL(r),DEL(u),DEL(s)
DEL(ativu);DEL(a),DEL(t),DEL(i),DEL(v),DEL(u)
DEL(usu);DEL(u),DEL(s),DEL(u)
DEL(uro);DEL(u),DEL(r),DEL(o)
DEL(orosu);DEL(o),DEL(r),DEL(o),DEL(s),DEL(u)
DEL(ocedo);DEL(o),DEL(c),DEL(e),DEL(d),DEL(o)
DEL(si);DEL(s),DEL(i)
DEL(ucosu);DEL(u),DEL(c),DEL(o),DEL(s),DEL(u)
DEL(ex);DEL(e),DEL(x)
DEL(urus);DEL(u),DEL(r),DEL(u),DEL(s)
DEL(ma);DEL(m),DEL(a)
DEL(ix);DEL(i),DEL(x)
DEL(tto);DEL(t),DEL(t),DEL(o)
DEL(sanu);DEL(s),DEL(a),DEL(n),DEL(u)
DEL(cio);DEL(c),DEL(i),DEL(o)
DEL(go);DEL(g),DEL(o)
DEL(onatus);DEL(o),DEL(n),DEL(a),DEL(t),DEL(u),DEL(s)
DEL(igo);DEL(i),DEL(g),DEL(o)
DEL(adico);DEL(a),DEL(d),DEL(i),DEL(c),DEL(o)
DEL(inalis);DEL(i),DEL(n),DEL(a),DEL(l),DEL(i),DEL(s)
DEL(ado);DEL(a),DEL(d),DEL(o)
DEL(ena);DEL(e),DEL(n),DEL(a)
DEL(ris);DEL(r),DEL(i),DEL(s)
DEL(bo);DEL(b),DEL(o)
DEL(epo);DEL(e),DEL(p),DEL(o)
DEL(upa);DEL(u),DEL(p),DEL(a)
DEL(torius);DEL(t),DEL(o),DEL(r),DEL(i),DEL(u),DEL(s)
DEL(ati);DEL(a),DEL(t),DEL(i)
DEL(inu);DEL(i),DEL(n),DEL(u)
DEL(oma);DEL(o),DEL(m),DEL(a)
DEL(pio);DEL(p),DEL(i),DEL(o)
DEL(ido);DEL(i),DEL(d),DEL(o)
DEL(ibo);DEL(i),DEL(b),DEL(o)
DEL(deo);DEL(d),DEL(e),DEL(o)
DEL(tus);DEL(t),DEL(us)
DEL(co);DEL(c),DEL(o)
DEL(setu);DEL(s),DEL(e),DEL(t),DEL(u)
DEL(ina);DEL(i),DEL(n),DEL(a)
DEL(eno);DEL(e),DEL(n),DEL(o)
DEL(icu);DEL(i),DEL(c),DEL(u)
DEL(iu);DEL(i),DEL(u)
DEL(to);DEL(t),DEL(o)
DEL(rium);DEL(r),DEL(i),DEL(u),DEL(m)
DEL(rius);DEL(r),DEL(i),DEL(u),DEL(s)
DEL(ucus);DEL(u),DEL(c),DEL(u),DEL(s)
DEL(age);DEL(a),DEL(g),DEL(e)
DEL(efiniti);DEL(e),DEL(f),DEL(i),DEL(n),DEL(i),DEL(t),DEL(i)
DEL(uos);DEL(u),DEL(o),DEL(s)
DEL(orico);DEL(o),DEL(r),DEL(i),DEL(c),DEL(o)
DEL(ano);DEL(a),DEL(n),DEL(o)
DEL(odo);DEL(o),DEL(d),DEL(o)
DEL(undo);DEL(u),DEL(n),DEL(d),DEL(o)
DEL(ari);DEL(a),DEL(r),DEL(i)
DEL(ato);DEL(at),DEL(o)
DEL(enu);DEL(e),DEL(n),DEL(u)
DEL(ito);DEL(i),DEL(t),DEL(o)
DEL(etosu);DEL(e),DEL(t),DEL(o),DEL(s),DEL(u)
DEL(ino);DEL(i),DEL(n),DEL(o)
DEL(jicio);DEL(j),DEL(i),DEL(c),DEL(i),DEL(o)
DEL(avatu);DEL(a),DEL(v),DEL(a),DEL(t),DEL(u)
DEL(igatus);DEL(i),DEL(g),DEL(a),DEL(t),DEL(u),DEL(s)
DEL(nubo);DEL(n),DEL(u),DEL(b),DEL(o)
DEL(on);DEL(o),DEL(n)
DEL(alis);DEL(a),DEL(lis)
DEL(ojicio);DEL(o),DEL(j),DEL(i),DEL(c),DEL(i),DEL(o)
DEL(imo);DEL(i),DEL(m),DEL(o)
DEL(idus);DEL(i),DEL(d),DEL(u),DEL(s)
DEL(lio);DEL(l),DEL(i),DEL(o)
DEL(opino);DEL(o),DEL(p),DEL(i),DEL(n),DEL(o)
DEL(iro);DEL(i),DEL(r),DEL(o)
DEL(otu);DEL(o),DEL(t),DEL(u)
DEL(enodo);DEL(e),DEL(n),DEL(o),DEL(d),DEL(o)
DEL(oneus);DEL(o),DEL(n),DEL(e),DEL(u),DEL(s)
DEL(elu);DEL(e),DEL(l),DEL(u)
DEL(eli);DEL(e),DEL(l),DEL(i)
DEL(tralis);DEL(t),DEL(r),DEL(a),DEL(l),DEL(i),DEL(s)
DEL(eia);DEL(e),DEL(i),DEL(a)
DEL(ola);DEL(o),DEL(l),DEL(a)
DEL(aturus);DEL(a),DEL(t),DEL(u),DEL(r),DEL(u),DEL(s)
DEL(ensi);DEL(e),DEL(n),DEL(s),DEL(i)
DEL(mu);DEL(m),DEL(u)
DEL(uno);DEL(u),DEL(n),DEL(o)
DEL(talis);DEL(t),DEL(a),DEL(l),DEL(i),DEL(s)
DEL(aliga);DEL(a),DEL(l),DEL(i),DEL(g),DEL(a)
DEL(y);DEL(y)
DEL(oru);DEL(o),DEL(r),DEL(u)
DEL(egato);DEL(e),DEL(g),DEL(a),DEL(t),DEL(o)
DEL(arius);DEL(a),DEL(r),DEL(i),DEL(u),DEL(s)
DEL(ipio);DEL(i),DEL(p),DEL(i),DEL(o)
DEL(ora);DEL(o),DEL(r),DEL(a)
DEL(icio);DEL(i),DEL(c),DEL(i),DEL(o)
DEL(emu);DEL(e),DEL(m),DEL(u)
DEL(emano);DEL(e),DEL(m),DEL(a),DEL(n),DEL(o)
DEL(ume);DEL(u),DEL(m),DEL(e)
DEL(anis);DEL(a),DEL(n),DEL(i),DEL(s)
DEL(uratus);DEL(u),DEL(r),DEL(a),DEL(t),DEL(u),DEL(s)
DEL(iga);DEL(i),DEL(g),DEL(a)
DEL(insa);DEL(i),DEL(n),DEL(s),DEL(a)
DEL(li);DEL(l),DEL(i)
DEL(no);DEL(n),DEL(o)
DEL(aca);DEL(a),DEL(c),DEL(a)
DEL(c);DEL(c)
DEL(utus);DEL(u),DEL(t),DEL(u),DEL(s)
DEL(etum);DEL(e),DEL(t),DEL(u),DEL(m)
DEL(crum);DEL(c),DEL(r),DEL(u),DEL(m)
DEL(nus);DEL(n),DEL(u),DEL(s)
DEL(zo);DEL(z),DEL(o)
DEL(enosu);DEL(e),DEL(n),DEL(o),DEL(s),DEL(u)
DEL(omus);DEL(o),DEL(m),DEL(u),DEL(s)
